id,reference,brand,power,city,responsible
3966,ACH03,Suntech,549,Medellin,Jose
8330,ACH02,Suntech,1795,Bogota,Diego
9247,ACH02,Risen,1076,Manizales,Carlos
9272,ACH03,Suntech,446,Bogota,Wilson
8955,ACH03,Talesun,218,Pereira,Jose
5538,ACH01,Jinko,251,Manizales,Diego
7856,ACH03,Jinko,1582,Medellin,Jose
6077,ACH03,Suntech,1235,Cali,Wilson
1849,ACH01,Suntech,1616,Medellin,Sonia
6996,ACH03,Jinko,924,Medellin,Jose
3430,ACH01,Talesun,1235,Medellin,Wilson
6001,ACH01,Suntech,1330,Manizales,Sonia
2929,ACH02,Talesun,1520,Cali,Carlos
7792,ACH02,Suntech,357,Pereira,Wilson
9289,ACH01,Jinko,1307,Cali,Jose
6664,ACH02,Risen,1713,Pereira,Jose
8380,ACH01,Talesun,1636,Manizales,Diego
5239,ACH01,Risen,533,Manizales,Diego
9017,ACH01,Jinko,1180,Pereira,Diego
8876,ACH01,Suntech,423,Manizales,Jose
7261,ACH02,Risen,1605,Bogota,Jose
7335,ACH02,Talesun,1665,Cali,Sonia
5020,ACH02,Suntech,1767,Cali,Jose
5217,ACH03,Suntech,694,Pereira,Wilson
9741,ACH03,Jinko,239,Medellin,Carlos
2164,ACH01,Jinko,1456,Manizales,Jose
5838,ACH03,Risen,1534,Medellin,Sonia
3205,ACH03,Jinko,813,Manizales,Jose
5360,ACH02,Risen,1754,Cali,Diego
6674,ACH03,Risen,1692,Pereira,Sonia
4210,ACH02,Jinko,1474,Cali,Carlos
7006,ACH01,Suntech,741,Cali,Sonia
7719,ACH03,Suntech,1980,Medellin,Diego
9027,ACH01,Suntech,244,Cali,Diego
1781,ACH01,Talesun,646,Medellin,Carlos
2842,ACH02,Risen,711,Medellin,Carlos
1918,ACH02,Jinko,1833,Manizales,Wilson
4557,ACH03,Jinko,384,Manizales,Carlos
8015,ACH01,Suntech,434,Cali,Sonia
395,ACH03,Risen,1939,Cali,Jose
5046,ACH02,Risen,340,Cali,Carlos
970,ACH02,Jinko,1399,Bogota,Sonia
9682,ACH03,Jinko,1548,Pereira,Wilson
5370,ACH02,Talesun,160,Pereira,Diego
6224,ACH03,Talesun,542,Cali,Wilson
6844,ACH03,Suntech,1589,Pereira,Wilson
3743,ACH01,Talesun,567,Medellin,Wilson
6165,ACH01,Talesun,911,Bogota,Jose
8299,ACH02,Suntech,396,Cali,Wilson
8952,ACH01,Jinko,1707,Medellin,Jose
746,ACH01,Suntech,1733,Bogota,Wilson
3759,ACH02,Suntech,1545,Bogota,Sonia
9764,ACH02,Talesun,744,Pereira,Diego
6423,ACH02,Risen,358,Cali,Diego
1697,ACH01,Suntech,572,Bogota,Carlos
1819,ACH03,Risen,1760,Medellin,Jose
4483,ACH01,Jinko,1579,Pereira,Sonia
1546,ACH03,Jinko,224,Pereira,Diego
7948,ACH03,Risen,1683,Medellin,Carlos
8715,ACH03,Suntech,1561,Bogota,Carlos
9636,ACH03,Jinko,823,Manizales,Wilson
4544,ACH02,Suntech,269,Medellin,Wilson
5343,ACH01,Jinko,429,Medellin,Carlos
6059,ACH02,Talesun,716,Medellin,Diego
9571,ACH01,Suntech,795,Cali,Jose
3627,ACH03,Jinko,1555,Medellin,Diego
4525,ACH01,Talesun,561,Manizales,Sonia
968,ACH03,Talesun,1899,Cali,Carlos
1119,ACH01,Suntech,1179,Bogota,Diego
2533,ACH01,Jinko,1546,Medellin,Sonia
4313,ACH03,Suntech,1122,Cali,Sonia
3655,ACH03,Risen,1876,Cali,Carlos
2858,ACH01,Risen,1314,Cali,Diego
3458,ACH01,Jinko,1041,Cali,Jose
3645,ACH01,Risen,365,Medellin,Sonia
9164,ACH03,Jinko,900,Bogota,Wilson
361,ACH03,Suntech,1947,Cali,Carlos
9694,ACH03,Suntech,1705,Pereira,Sonia
5208,ACH01,Risen,1076,Cali,Sonia
9103,ACH02,Risen,1632,Cali,Jose
9859,ACH01,Talesun,1373,Pereira,Jose
552,ACH01,Jinko,862,Manizales,Jose
3301,ACH02,Suntech,1827,Bogota,Sonia
2342,ACH03,Suntech,340,Medellin,Wilson
121,ACH03,Suntech,145,Bogota,Diego
2770,ACH01,Suntech,1182,Pereira,Wilson
4615,ACH02,Risen,1713,Medellin,Carlos
4155,ACH01,Suntech,136,Cali,Wilson
1628,ACH01,Risen,691,Pereira,Sonia
7878,ACH01,Risen,1592,Medellin,Diego
4370,ACH03,Suntech,653,Bogota,Diego
8611,ACH03,Talesun,1055,Pereira,Sonia
6179,ACH03,Jinko,1099,Manizales,Sonia
5728,ACH02,Talesun,532,Manizales,Diego
4484,ACH01,Talesun,1390,Medellin,Jose
8251,ACH01,Jinko,1572,Bogota,Diego
4615,ACH02,Talesun,1659,Medellin,Sonia
931,ACH02,Talesun,1113,Pereira,Wilson
8672,ACH03,Risen,1102,Medellin,Jose
5274,ACH03,Jinko,1109,Medellin,Jose
9331,ACH02,Jinko,1960,Pereira,Sonia
5831,ACH01,Suntech,1508,Bogota,Jose
4460,ACH02,Risen,609,Manizales,Wilson
7617,ACH03,Suntech,1515,Pereira,Carlos
9476,ACH02,Talesun,466,Medellin,Sonia
6582,ACH03,Jinko,1045,Manizales,Carlos
6844,ACH02,Risen,1060,Manizales,Jose
4872,ACH02,Jinko,872,Medellin,Carlos
1080,ACH03,Risen,1739,Pereira,Diego
6671,ACH01,Talesun,591,Medellin,Sonia
2446,ACH02,Risen,1272,Medellin,Diego
5343,ACH03,Suntech,689,Pereira,Wilson
4496,ACH01,Talesun,471,Cali,Diego
4164,ACH01,Talesun,1455,Cali,Sonia
4590,ACH02,Jinko,1062,Manizales,Jose
4768,ACH01,Jinko,451,Manizales,Diego
2821,ACH01,Risen,1156,Bogota,Jose
7517,ACH02,Jinko,130,Medellin,Diego
6278,ACH03,Jinko,139,Medellin,Sonia
6489,ACH02,Jinko,531,Manizales,Diego
5400,ACH02,Talesun,1017,Medellin,Jose
2584,ACH01,Jinko,1665,Pereira,Wilson
8900,ACH01,Risen,1265,Cali,Jose
5634,ACH02,Suntech,971,Pereira,Jose
9205,ACH02,Risen,606,Pereira,Carlos
9585,ACH02,Suntech,951,Manizales,Jose
7131,ACH03,Suntech,802,Cali,Jose
5325,ACH01,Jinko,739,Medellin,Sonia
1735,ACH01,Jinko,1949,Manizales,Jose
6448,ACH02,Risen,1605,Manizales,Carlos
2322,ACH03,Suntech,1979,Manizales,Diego
1523,ACH02,Suntech,543,Manizales,Diego
2471,ACH02,Risen,1765,Bogota,Wilson
4166,ACH01,Talesun,1528,Manizales,Sonia
9998,ACH03,Risen,1147,Bogota,Carlos
2135,ACH03,Suntech,1183,Medellin,Sonia
1481,ACH03,Talesun,135,Cali,Sonia
2163,ACH02,Jinko,644,Bogota,Sonia
3846,ACH03,Talesun,953,Pereira,Carlos
6085,ACH01,Risen,713,Pereira,Sonia
267,ACH03,Risen,917,Medellin,Diego
5970,ACH01,Suntech,282,Medellin,Carlos
6074,ACH02,Suntech,900,Pereira,Carlos
8624,ACH01,Suntech,1138,Medellin,Diego
1288,ACH01,Suntech,1850,Pereira,Jose
7519,ACH03,Risen,478,Manizales,Carlos
7838,ACH02,Jinko,943,Pereira,Jose
8485,ACH03,Jinko,1613,Cali,Carlos
5580,ACH03,Jinko,1291,Cali,Jose
8492,ACH01,Risen,993,Medellin,Sonia
3289,ACH01,Risen,677,Cali,Sonia
5272,ACH03,Talesun,1939,Medellin,Carlos
1048,ACH01,Jinko,509,Bogota,Jose
432,ACH01,Jinko,215,Manizales,Wilson
8579,ACH03,Jinko,1069,Cali,Wilson
2650,ACH01,Risen,988,Pereira,Carlos
5508,ACH02,Risen,975,Cali,Diego
8328,ACH02,Risen,1923,Cali,Sonia
924,ACH03,Suntech,776,Manizales,Carlos
3288,ACH03,Talesun,265,Medellin,Sonia
2873,ACH03,Suntech,1223,Pereira,Diego
4496,ACH03,Jinko,1807,Medellin,Sonia
5165,ACH03,Jinko,1799,Bogota,Diego
7090,ACH01,Risen,1562,Bogota,Diego
3772,ACH01,Jinko,1281,Medellin,Sonia
4073,ACH01,Talesun,1397,Cali,Sonia
3767,ACH02,Risen,665,Pereira,Carlos
2491,ACH02,Talesun,1526,Manizales,Diego
7960,ACH02,Risen,1509,Manizales,Jose
1352,ACH01,Jinko,1685,Pereira,Wilson
3344,ACH01,Suntech,330,Cali,Wilson
6660,ACH02,Risen,1868,Medellin,Jose
3534,ACH01,Suntech,777,Cali,Diego
3047,ACH03,Risen,100,Cali,Wilson
931,ACH02,Talesun,1731,Medellin,Carlos
5846,ACH02,Risen,717,Pereira,Sonia
8933,ACH02,Risen,1378,Medellin,Jose
1517,ACH01,Talesun,179,Cali,Wilson
8516,ACH02,Jinko,1526,Manizales,Carlos
1927,ACH01,Suntech,824,Medellin,Wilson
4204,ACH03,Suntech,518,Bogota,Wilson
4821,ACH03,Talesun,1060,Pereira,Jose
7386,ACH02,Talesun,1360,Cali,Diego
8090,ACH01,Risen,1869,Pereira,Wilson
1596,ACH03,Risen,170,Manizales,Diego
4853,ACH03,Talesun,1818,Cali,Diego
2426,ACH03,Jinko,1134,Bogota,Jose
6321,ACH03,Talesun,899,Cali,Sonia
8635,ACH02,Risen,935,Cali,Wilson
9855,ACH02,Risen,695,Medellin,Diego
501,ACH03,Talesun,374,Manizales,Jose
5254,ACH03,Suntech,1239,Bogota,Carlos
2753,ACH01,Talesun,237,Medellin,Wilson
9879,ACH03,Jinko,180,Manizales,Diego
5411,ACH03,Risen,753,Bogota,Diego
3289,ACH01,Jinko,1296,Pereira,Jose
8864,ACH02,Jinko,798,Bogota,Wilson
7637,ACH01,Suntech,1003,Pereira,Wilson
7551,ACH02,Talesun,839,Manizales,Sonia
824,ACH02,Talesun,1534,Bogota,Diego
488,ACH03,Talesun,1128,Cali,Diego
8151,ACH01,Suntech,943,Bogota,Diego
1162,ACH03,Jinko,174,Bogota,Wilson
2775,ACH01,Jinko,1529,Manizales,Carlos
7003,ACH02,Suntech,836,Manizales,Jose
2227,ACH03,Jinko,1485,Cali,Sonia
8633,ACH03,Jinko,464,Manizales,Diego
9187,ACH01,Suntech,1602,Pereira,Carlos
5060,ACH03,Risen,1231,Bogota,Carlos
2989,ACH02,Jinko,1163,Cali,Sonia
9711,ACH02,Risen,1314,Pereira,Wilson
6462,ACH03,Talesun,1115,Medellin,Sonia
5576,ACH03,Suntech,354,Bogota,Diego
3809,ACH02,Talesun,1868,Medellin,Diego
5847,ACH01,Talesun,1246,Medellin,Sonia
9166,ACH02,Talesun,1629,Manizales,Carlos
5934,ACH02,Talesun,850,Cali,Sonia
5681,ACH01,Suntech,448,Manizales,Jose
8805,ACH01,Jinko,1089,Manizales,Jose
4714,ACH02,Jinko,660,Cali,Carlos
3094,ACH01,Talesun,1794,Manizales,Carlos
4073,ACH03,Jinko,1054,Manizales,Wilson
4821,ACH02,Talesun,1064,Medellin,Sonia
4083,ACH03,Suntech,2000,Pereira,Jose
3371,ACH03,Jinko,258,Pereira,Sonia
915,ACH01,Talesun,1991,Manizales,Sonia
8083,ACH01,Jinko,1100,Bogota,Carlos
4549,ACH02,Jinko,842,Manizales,Sonia
5524,ACH03,Jinko,1659,Pereira,Carlos
3122,ACH03,Talesun,1699,Medellin,Carlos
147,ACH02,Jinko,156,Medellin,Jose
2196,ACH01,Suntech,226,Medellin,Diego
2039,ACH02,Talesun,1735,Cali,Sonia
3271,ACH01,Talesun,444,Cali,Diego
807,ACH01,Jinko,1871,Cali,Wilson
4793,ACH03,Suntech,1859,Medellin,Sonia
329,ACH03,Jinko,479,Pereira,Wilson
6153,ACH03,Talesun,1717,Manizales,Diego
9626,ACH03,Suntech,1788,Medellin,Carlos
7822,ACH02,Suntech,976,Manizales,Sonia
2979,ACH03,Risen,573,Cali,Sonia
8338,ACH02,Suntech,1054,Manizales,Diego
9751,ACH02,Suntech,644,Medellin,Diego
6512,ACH01,Talesun,262,Cali,Carlos
797,ACH01,Suntech,278,Cali,Sonia
8281,ACH02,Suntech,387,Bogota,Diego
1410,ACH03,Jinko,749,Medellin,Jose
4623,ACH03,Risen,1958,Cali,Jose
7796,ACH01,Talesun,1686,Manizales,Jose
2578,ACH03,Suntech,1756,Pereira,Carlos
4011,ACH03,Risen,842,Bogota,Diego
6188,ACH01,Suntech,395,Pereira,Sonia
4494,ACH02,Suntech,1730,Manizales,Sonia
834,ACH01,Talesun,1800,Medellin,Jose
7039,ACH03,Talesun,1631,Pereira,Wilson
4285,ACH02,Suntech,251,Bogota,Wilson
8282,ACH03,Suntech,147,Bogota,Jose
8587,ACH01,Suntech,1775,Manizales,Carlos
6615,ACH03,Jinko,403,Bogota,Jose
2001,ACH01,Jinko,1395,Manizales,Jose
5394,ACH03,Suntech,700,Bogota,Diego
9810,ACH02,Suntech,1657,Medellin,Wilson
5938,ACH03,Talesun,987,Pereira,Sonia
341,ACH03,Talesun,981,Medellin,Diego
3401,ACH01,Risen,137,Manizales,Sonia
3286,ACH01,Risen,660,Medellin,Jose
6501,ACH03,Jinko,517,Manizales,Carlos
7921,ACH02,Jinko,951,Pereira,Diego
4068,ACH02,Talesun,672,Medellin,Diego
635,ACH03,Risen,1695,Medellin,Jose
222,ACH03,Risen,1152,Bogota,Carlos
3213,ACH03,Jinko,728,Manizales,Wilson
4682,ACH02,Risen,758,Manizales,Carlos
5077,ACH02,Suntech,166,Medellin,Jose
977,ACH01,Talesun,881,Medellin,Carlos
4584,ACH01,Risen,276,Cali,Diego
6022,ACH01,Jinko,288,Medellin,Sonia
545,ACH02,Suntech,761,Medellin,Carlos
3066,ACH03,Jinko,974,Manizales,Wilson
110,ACH01,Jinko,1126,Cali,Carlos
6934,ACH03,Jinko,900,Cali,Diego
3298,ACH01,Jinko,808,Medellin,Sonia
6766,ACH02,Talesun,575,Manizales,Diego
3133,ACH03,Risen,501,Medellin,Jose
8595,ACH02,Talesun,215,Pereira,Jose
46,ACH02,Risen,976,Medellin,Wilson
7988,ACH03,Suntech,1366,Cali,Diego
3180,ACH02,Jinko,393,Cali,Diego
3224,ACH02,Risen,1873,Manizales,Wilson
6607,ACH02,Talesun,1819,Cali,Diego
5822,ACH02,Suntech,698,Pereira,Diego
5343,ACH01,Risen,503,Cali,Wilson
3623,ACH03,Suntech,1912,Cali,Carlos
4165,ACH02,Risen,1435,Manizales,Sonia
3679,ACH03,Jinko,787,Cali,Diego
5058,ACH02,Jinko,401,Cali,Sonia
3298,ACH02,Talesun,1986,Bogota,Jose
4623,ACH02,Suntech,1557,Bogota,Carlos
1981,ACH02,Talesun,1999,Cali,Diego
6662,ACH01,Jinko,1028,Manizales,Diego
408,ACH03,Jinko,593,Bogota,Diego
6870,ACH02,Jinko,1137,Pereira,Carlos
77,ACH01,Jinko,827,Cali,Carlos
9796,ACH03,Talesun,1911,Manizales,Jose
1532,ACH03,Talesun,255,Cali,Wilson
1392,ACH02,Talesun,293,Medellin,Sonia
3764,ACH01,Risen,1141,Medellin,Wilson
9465,ACH01,Risen,1321,Manizales,Jose
5183,ACH02,Suntech,559,Manizales,Diego
3025,ACH01,Risen,1529,Cali,Sonia
3400,ACH01,Talesun,1914,Medellin,Sonia
259,ACH01,Talesun,825,Cali,Sonia
611,ACH01,Risen,610,Cali,Jose
5044,ACH03,Suntech,1245,Cali,Sonia
2115,ACH03,Suntech,454,Manizales,Carlos
7076,ACH03,Suntech,1765,Manizales,Diego
8119,ACH02,Risen,1347,Manizales,Jose
2876,ACH02,Suntech,1157,Medellin,Diego
6599,ACH03,Suntech,449,Bogota,Sonia
4683,ACH03,Risen,1935,Medellin,Wilson
9806,ACH02,Suntech,679,Bogota,Sonia
8659,ACH03,Risen,1818,Cali,Sonia
9690,ACH01,Jinko,398,Pereira,Sonia
3241,ACH02,Talesun,1903,Manizales,Wilson
7652,ACH02,Talesun,1904,Pereira,Wilson
8934,ACH02,Risen,1216,Cali,Wilson
9455,ACH01,Talesun,1925,Manizales,Jose
4973,ACH02,Suntech,1736,Pereira,Wilson
612,ACH02,Risen,1134,Medellin,Jose
2732,ACH01,Suntech,1361,Manizales,Sonia
1745,ACH01,Talesun,1144,Medellin,Sonia
6237,ACH02,Talesun,506,Pereira,Carlos
1486,ACH03,Suntech,1719,Bogota,Carlos
1561,ACH01,Suntech,498,Manizales,Diego
9085,ACH01,Suntech,906,Pereira,Wilson
9084,ACH02,Suntech,776,Pereira,Diego
7699,ACH03,Suntech,1441,Manizales,Diego
5933,ACH01,Talesun,387,Bogota,Wilson
512,ACH03,Jinko,1935,Cali,Diego
9670,ACH03,Risen,1408,Medellin,Diego
2974,ACH02,Suntech,1345,Pereira,Sonia
1242,ACH02,Risen,1432,Cali,Carlos
5992,ACH02,Jinko,324,Medellin,Carlos
9305,ACH02,Talesun,316,Cali,Sonia
1662,ACH01,Jinko,1007,Bogota,Wilson
9712,ACH02,Suntech,896,Pereira,Jose
5219,ACH03,Risen,1527,Medellin,Jose
5871,ACH02,Talesun,653,Medellin,Sonia
3451,ACH01,Jinko,359,Cali,Sonia
2110,ACH02,Suntech,1702,Pereira,Diego
2300,ACH02,Jinko,105,Manizales,Wilson
2122,ACH02,Suntech,1371,Cali,Sonia
5724,ACH01,Talesun,203,Manizales,Wilson
4299,ACH01,Jinko,1006,Cali,Carlos
1485,ACH03,Risen,182,Medellin,Jose
6971,ACH03,Suntech,1577,Cali,Carlos
8645,ACH02,Suntech,631,Bogota,Diego
2639,ACH02,Risen,1356,Cali,Sonia
4840,ACH03,Suntech,270,Bogota,Carlos
5896,ACH01,Talesun,499,Bogota,Wilson
935,ACH02,Talesun,1798,Medellin,Diego
9999,ACH03,Jinko,1617,Medellin,Carlos
8615,ACH02,Jinko,366,Bogota,Carlos
1787,ACH03,Suntech,629,Pereira,Diego
5258,ACH01,Risen,1985,Medellin,Carlos
3954,ACH02,Talesun,1053,Pereira,Wilson
2449,ACH01,Jinko,1668,Medellin,Diego
5962,ACH02,Risen,502,Pereira,Carlos
725,ACH02,Talesun,680,Pereira,Carlos
9204,ACH01,Jinko,1326,Bogota,Carlos
5477,ACH01,Jinko,1742,Cali,Jose
2698,ACH01,Jinko,537,Manizales,Sonia
3436,ACH03,Jinko,1674,Medellin,Wilson
321,ACH03,Risen,1550,Bogota,Jose
4586,ACH02,Talesun,1380,Cali,Diego
2650,ACH03,Risen,671,Bogota,Carlos
5154,ACH02,Risen,1485,Bogota,Wilson
1471,ACH03,Suntech,490,Manizales,Jose
4470,ACH01,Suntech,1436,Manizales,Carlos
6846,ACH03,Talesun,309,Bogota,Carlos
564,ACH03,Suntech,1710,Pereira,Diego
145,ACH02,Suntech,1731,Cali,Carlos
3930,ACH01,Talesun,1628,Manizales,Carlos
1735,ACH03,Risen,580,Manizales,Jose
6628,ACH03,Risen,955,Medellin,Carlos
2682,ACH01,Talesun,1340,Medellin,Jose
5883,ACH02,Suntech,515,Pereira,Wilson
5379,ACH03,Talesun,1202,Medellin,Sonia
5663,ACH01,Risen,1769,Medellin,Jose
6227,ACH01,Suntech,839,Bogota,Sonia
8591,ACH03,Suntech,498,Medellin,Wilson
6715,ACH01,Talesun,695,Cali,Diego
3456,ACH03,Talesun,1712,Cali,Carlos
9513,ACH01,Risen,685,Medellin,Jose
6762,ACH01,Risen,1190,Medellin,Sonia
2746,ACH03,Talesun,1351,Manizales,Sonia
2785,ACH02,Talesun,732,Medellin,Sonia
4181,ACH03,Risen,1471,Cali,Wilson
1966,ACH02,Jinko,961,Bogota,Wilson
4380,ACH03,Suntech,1513,Medellin,Wilson
4869,ACH03,Suntech,1252,Bogota,Jose
9110,ACH03,Risen,204,Cali,Sonia
414,ACH03,Suntech,246,Manizales,Carlos
7161,ACH01,Jinko,1526,Medellin,Wilson
3561,ACH03,Risen,441,Cali,Carlos
5404,ACH03,Risen,520,Medellin,Carlos
3863,ACH01,Jinko,256,Pereira,Jose
4346,ACH02,Risen,1849,Bogota,Wilson
5449,ACH03,Suntech,1136,Bogota,Wilson
4721,ACH02,Suntech,1140,Manizales,Diego
2027,ACH01,Jinko,921,Pereira,Jose
7706,ACH01,Talesun,861,Medellin,Diego
8847,ACH02,Risen,1095,Cali,Wilson
749,ACH01,Suntech,460,Cali,Diego
7620,ACH01,Risen,720,Medellin,Diego
5217,ACH03,Suntech,1316,Cali,Wilson
9717,ACH02,Jinko,648,Pereira,Wilson
1804,ACH01,Risen,1449,Pereira,Wilson
2931,ACH03,Jinko,1506,Bogota,Carlos
9907,ACH03,Suntech,1744,Pereira,Carlos
130,ACH03,Suntech,1577,Medellin,Wilson
2693,ACH02,Talesun,1570,Manizales,Wilson
3896,ACH02,Risen,931,Pereira,Carlos
7830,ACH03,Risen,401,Bogota,Wilson
5756,ACH02,Jinko,503,Medellin,Wilson
3623,ACH02,Suntech,1829,Bogota,Wilson
1829,ACH01,Jinko,215,Pereira,Diego
2176,ACH02,Risen,1714,Cali,Carlos
9677,ACH03,Talesun,979,Bogota,Jose
4670,ACH03,Talesun,1267,Manizales,Sonia
9049,ACH01,Risen,1251,Bogota,Carlos
8814,ACH02,Suntech,1179,Manizales,Sonia
1866,ACH01,Suntech,791,Cali,Jose
7746,ACH03,Suntech,1227,Bogota,Diego
4230,ACH03,Jinko,838,Medellin,Jose
3398,ACH01,Risen,1616,Manizales,Diego
9229,ACH02,Suntech,1198,Manizales,Wilson
1677,ACH02,Risen,535,Medellin,Sonia
9488,ACH01,Risen,752,Manizales,Carlos
6480,ACH02,Talesun,1787,Bogota,Carlos
89,ACH01,Risen,1255,Manizales,Carlos
746,ACH03,Risen,1957,Manizales,Diego
2157,ACH03,Talesun,1156,Cali,Diego
9958,ACH03,Risen,656,Cali,Sonia
33,ACH01,Talesun,1240,Manizales,Sonia
6721,ACH03,Jinko,862,Bogota,Wilson
4280,ACH03,Risen,868,Bogota,Diego
6235,ACH02,Jinko,1479,Cali,Sonia
8714,ACH02,Suntech,176,Bogota,Sonia
9281,ACH02,Talesun,705,Manizales,Sonia
2801,ACH02,Jinko,1575,Cali,Diego
2938,ACH01,Suntech,498,Pereira,Sonia
7839,ACH02,Jinko,1921,Medellin,Sonia
4741,ACH01,Risen,1345,Pereira,Wilson
1188,ACH01,Suntech,1891,Manizales,Diego
6045,ACH02,Risen,484,Bogota,Jose
4790,ACH03,Jinko,1372,Pereira,Sonia
7431,ACH01,Talesun,1339,Pereira,Jose
6511,ACH01,Suntech,949,Manizales,Sonia
5143,ACH02,Suntech,513,Cali,Sonia
5159,ACH03,Talesun,755,Medellin,Sonia
4274,ACH01,Talesun,1759,Manizales,Wilson
7077,ACH02,Risen,535,Medellin,Carlos
6398,ACH03,Suntech,1226,Cali,Jose
5803,ACH01,Talesun,1126,Manizales,Jose
9835,ACH02,Suntech,1642,Manizales,Wilson
5009,ACH02,Jinko,391,Manizales,Diego
9040,ACH01,Jinko,1350,Medellin,Wilson
3154,ACH03,Suntech,1034,Cali,Carlos
8368,ACH01,Risen,1628,Cali,Wilson
6033,ACH02,Talesun,1430,Pereira,Jose
5301,ACH01,Talesun,1944,Pereira,Wilson
3680,ACH01,Jinko,653,Cali,Jose
3761,ACH03,Risen,1847,Manizales,Jose
6301,ACH01,Suntech,1020,Cali,Carlos
3617,ACH03,Talesun,1658,Bogota,Wilson
1423,ACH03,Talesun,1200,Pereira,Wilson
2773,ACH03,Suntech,742,Medellin,Diego
3219,ACH02,Talesun,1291,Medellin,Wilson
6305,ACH02,Jinko,931,Bogota,Wilson
8712,ACH02,Suntech,1707,Pereira,Wilson
6272,ACH01,Suntech,978,Medellin,Jose
1373,ACH02,Talesun,760,Medellin,Jose
6074,ACH01,Risen,162,Pereira,Wilson
7061,ACH01,Jinko,1128,Pereira,Diego
1951,ACH03,Suntech,1710,Bogota,Diego
9472,ACH03,Suntech,1843,Bogota,Wilson
8519,ACH01,Jinko,812,Bogota,Diego
8799,ACH02,Talesun,530,Pereira,Sonia
9462,ACH02,Jinko,1555,Cali,Carlos
8515,ACH01,Risen,737,Cali,Wilson
3174,ACH03,Risen,1207,Medellin,Sonia
3807,ACH02,Risen,1524,Cali,Jose
1310,ACH03,Risen,1956,Pereira,Sonia
1111,ACH01,Jinko,1319,Medellin,Jose
4484,ACH03,Talesun,608,Medellin,Sonia
3850,ACH03,Risen,918,Cali,Carlos
