comuna,ica,fecha,id
comuna 9,33,2024-06-25,33199
comuna 9,22,2024-06-23,24576
comuna 2,36,2024-06-25,43063
comuna 7,81,2024-06-25,31273
comuna 14,56,2024-07-31,17855
comuna 5,75,2024-01-30,1935
comuna 1,41,2024-06-23,26235
comuna 16,63,2024-06-25,43218
comuna 12,71,2024-06-23,23828
comuna 4,79,2024-06-25,45206
comuna 13,72,2024-07-31,46097
comuna 8,58,2024-06-25,25166
comuna 12,65,2024-07-31,35034
comuna 15,63,2024-06-25,36868
comuna 2,47,2024-01-30,41661
comuna 6,86,2024-06-23,21722
comuna 5,59,2024-07-31,7968
comuna 1,84,2024-01-30,35143
comuna 12,86,2024-01-30,38894
comuna 14,46,2024-07-31,22838
comuna 4,29,2024-06-25,7411
comuna 7,82,2024-07-31,47809
comuna 16,84,2024-01-30,2575
comuna 5,46,2024-06-23,39750
comuna 11,64,2024-07-31,22615
comuna 2,83,2024-06-23,13117
comuna 15,50,2024-01-30,17407
comuna 1,18,2024-06-25,29964
comuna 8,68,2024-01-30,40060
comuna 8,46,2024-06-23,4735
comuna 16,90,2024-07-31,3961
comuna 1,66,2024-06-25,49778
comuna 3,45,2024-07-31,38311
comuna 2,88,2024-06-25,34401
comuna 6,76,2024-06-23,17001
comuna 9,33,2024-06-25,48370
comuna 16,33,2024-01-30,47583
comuna 9,36,2024-06-23,27925
comuna 15,47,2024-07-31,25501
comuna 15,68,2024-07-31,32104
comuna 3,53,2024-06-23,2231
comuna 9,75,2024-01-30,23404
comuna 16,93,2024-06-25,18109
comuna 5,45,2024-06-25,48403
comuna 8,82,2024-01-30,24335
comuna 2,84,2024-01-30,49146
comuna 3,87,2024-01-30,39416
comuna 9,99,2024-07-31,19735
comuna 7,43,2024-06-23,33327
comuna 7,47,2024-07-31,26848
comuna 4,44,2024-07-31,41828
comuna 5,77,2024-07-31,3696
comuna 8,16,2024-01-30,4761
comuna 4,95,2024-06-25,25317
comuna 11,31,2024-06-25,35549
comuna 12,88,2024-01-30,31117
comuna 9,91,2024-07-31,35674
comuna 6,34,2024-06-25,10921
comuna 10,29,2024-01-30,34434
comuna 6,72,2024-01-30,9365
comuna 8,98,2024-07-31,40750
comuna 7,90,2024-06-23,4699
comuna 11,19,2024-06-23,27994
comuna 7,69,2024-07-31,47052
comuna 15,89,2024-01-30,41490
comuna 7,55,2024-06-25,47270
comuna 9,100,2024-01-30,40945
comuna 1,65,2024-06-25,3319
comuna 5,23,2024-06-25,28306
comuna 3,18,2024-06-25,37390
comuna 1,40,2024-01-30,32081
comuna 9,37,2024-01-30,22731
comuna 3,21,2024-06-23,18639
comuna 7,21,2024-01-30,15665
comuna 13,76,2024-01-30,4490
comuna 13,87,2024-07-31,18622
comuna 4,97,2024-07-31,29927
comuna 13,24,2024-07-31,1281
comuna 8,56,2024-06-25,11409
comuna 6,95,2024-06-25,17212
comuna 13,59,2024-06-25,39615
comuna 11,56,2024-06-25,20643
comuna 3,89,2024-01-30,2038
comuna 14,74,2024-01-30,36613
comuna 4,78,2024-06-25,1575
comuna 10,65,2024-01-30,39071
comuna 16,42,2024-07-31,44370
comuna 3,95,2024-06-25,29631
comuna 9,11,2024-06-23,48262
comuna 5,36,2024-01-30,44130
comuna 2,21,2024-06-25,42956
comuna 12,21,2024-07-31,5346
comuna 2,42,2024-07-31,27297
comuna 7,71,2024-01-30,20258
comuna 9,45,2024-06-23,49852
comuna 14,49,2024-01-30,7693
comuna 4,82,2024-06-23,2344
comuna 5,80,2024-07-31,31372
comuna 11,44,2024-07-31,7970
comuna 10,15,2024-06-25,19365
comuna 12,11,2024-01-30,11203
comuna 15,63,2024-06-25,31285
comuna 5,46,2024-06-23,39044
comuna 8,55,2024-06-25,13800
comuna 11,86,2024-06-25,29905
comuna 15,80,2024-06-25,29560
comuna 1,24,2024-01-30,9324
comuna 2,79,2024-01-30,13337
comuna 13,53,2024-06-23,47889
comuna 7,84,2024-07-31,34134
comuna 12,81,2024-07-31,35189
comuna 15,94,2024-06-23,5922
comuna 13,34,2024-07-31,15701
comuna 8,75,2024-06-23,14365
comuna 5,29,2024-07-31,14458
comuna 9,34,2024-07-31,11980
comuna 10,58,2024-06-25,39625
comuna 4,89,2024-07-31,37578
comuna 9,47,2024-06-23,256
comuna 15,44,2024-07-31,21434
comuna 2,58,2024-07-31,2069
comuna 2,21,2024-06-25,5479
comuna 15,24,2024-01-30,21318
comuna 6,19,2024-07-31,30536
comuna 2,57,2024-06-23,41415
comuna 11,53,2024-06-25,29825
comuna 8,82,2024-06-25,37589
comuna 7,60,2024-06-25,28041
comuna 13,32,2024-07-31,32115
comuna 4,62,2024-01-30,31025
comuna 3,50,2024-06-25,3885
comuna 5,16,2024-01-30,26558
comuna 10,33,2024-01-30,23411
comuna 9,56,2024-07-31,7170
comuna 11,28,2024-07-31,39456
comuna 15,36,2024-07-31,40037
comuna 2,25,2024-06-23,42733
comuna 7,97,2024-06-23,24346
comuna 14,83,2024-06-23,25897
comuna 16,79,2024-06-23,1696
comuna 4,56,2024-07-31,20119
comuna 12,60,2024-07-31,5328
comuna 11,63,2024-06-25,33722
comuna 3,51,2024-07-31,2199
comuna 13,41,2024-06-23,36431
comuna 1,71,2024-07-31,11516
comuna 12,81,2024-07-31,14109
comuna 2,14,2024-06-25,44202
comuna 12,48,2024-06-25,13981
comuna 9,23,2024-07-31,26761
comuna 12,27,2024-01-30,33216
comuna 3,82,2024-01-30,38787
comuna 3,65,2024-06-23,44323
comuna 15,55,2024-06-25,19820
comuna 16,89,2024-01-30,46165
comuna 11,97,2024-06-25,29221
comuna 4,75,2024-07-31,6078
comuna 7,19,2024-06-25,20230
comuna 9,15,2024-01-30,15076
comuna 15,14,2024-07-31,36109
comuna 9,83,2024-06-23,28938
comuna 3,98,2024-06-25,47192
comuna 13,25,2024-07-31,6
comuna 14,69,2024-01-30,22812
comuna 8,16,2024-01-30,40053
comuna 2,40,2024-06-23,46845
comuna 2,59,2024-06-23,38609
comuna 1,14,2024-06-23,5481
comuna 11,88,2024-07-31,27562
comuna 2,35,2024-06-23,37426
comuna 8,67,2024-01-30,28016
comuna 4,79,2024-06-23,36620
comuna 1,78,2024-06-25,36901
comuna 16,81,2024-07-31,49692
comuna 4,73,2024-06-25,41638
comuna 13,23,2024-01-30,36633
comuna 14,49,2024-07-31,25031
comuna 2,100,2024-01-30,6507
comuna 4,42,2024-07-31,35924
comuna 15,58,2024-07-31,37037
comuna 9,20,2024-07-31,36381
comuna 2,16,2024-06-23,16567
comuna 1,15,2024-06-23,12028
comuna 7,17,2024-07-31,20952
comuna 10,28,2024-06-25,10381
comuna 3,77,2024-06-25,7737
comuna 3,42,2024-06-23,16387
comuna 11,34,2024-06-25,17811
comuna 2,39,2024-07-31,13241
comuna 15,63,2024-06-23,33252
comuna 14,30,2024-06-23,46149
comuna 9,51,2024-06-23,24349
comuna 2,40,2024-06-23,44360
comuna 4,18,2024-06-23,48746
comuna 5,39,2024-06-25,49350
comuna 9,16,2024-07-31,37004
comuna 13,96,2024-07-31,40025
comuna 1,21,2024-06-23,2660
comuna 9,45,2024-06-25,19112
comuna 12,37,2024-06-25,857
comuna 6,83,2024-06-25,42626
comuna 7,25,2024-01-30,4029
comuna 9,13,2024-06-23,44422
comuna 8,97,2024-01-30,21138
comuna 7,98,2024-06-25,26266
comuna 5,81,2024-07-31,12733
comuna 11,53,2024-07-31,26055
comuna 7,58,2024-06-25,16344
comuna 12,50,2024-06-25,29995
comuna 2,73,2024-06-25,38570
comuna 11,83,2024-06-25,7862
comuna 3,67,2024-06-25,15394
comuna 8,56,2024-06-25,14935
comuna 8,92,2024-07-31,29894
comuna 14,62,2024-07-31,6078
comuna 9,33,2024-07-31,27497
comuna 16,37,2024-07-31,16813
comuna 2,10,2024-06-23,35177
comuna 15,97,2024-01-30,15204
comuna 16,16,2024-06-25,37047
comuna 13,28,2024-07-31,48205
comuna 4,15,2024-01-30,4019
comuna 3,90,2024-01-30,23054
comuna 4,46,2024-06-25,2400
comuna 14,73,2024-07-31,46406
comuna 12,25,2024-01-30,28407
comuna 4,45,2024-01-30,3419
comuna 7,92,2024-01-30,13666
comuna 10,41,2024-07-31,41836
comuna 1,29,2024-06-25,32626
comuna 13,11,2024-06-23,27674
comuna 10,53,2024-07-31,25192
comuna 11,77,2024-07-31,28649
comuna 6,72,2024-07-31,2396
comuna 15,99,2024-01-30,32326
comuna 4,58,2024-01-30,10340
comuna 12,62,2024-06-23,14653
comuna 16,70,2024-01-30,49378
comuna 11,29,2024-01-30,5535
comuna 9,95,2024-06-23,46476
comuna 5,25,2024-07-31,13773
comuna 9,47,2024-07-31,22506
comuna 8,47,2024-06-23,35892
comuna 13,42,2024-01-30,24324
comuna 7,93,2024-07-31,20363
comuna 9,28,2024-07-31,15493
comuna 7,45,2024-07-31,31541
comuna 15,37,2024-07-31,25169
comuna 6,57,2024-01-30,15034
comuna 9,64,2024-07-31,45256
comuna 5,82,2024-06-25,18010
comuna 11,17,2024-01-30,1491
comuna 8,49,2024-06-23,4290
comuna 7,28,2024-06-23,15299
comuna 5,33,2024-07-31,4616
comuna 1,25,2024-01-30,38612
comuna 16,30,2024-01-30,6687
comuna 15,52,2024-06-25,49255
comuna 12,56,2024-06-25,30626
comuna 4,82,2024-07-31,2437
comuna 15,13,2024-07-31,36995
comuna 9,54,2024-01-30,39267
comuna 10,55,2024-01-30,16776
comuna 7,23,2024-07-31,23465
comuna 10,21,2024-07-31,15447
comuna 11,31,2024-01-30,33144
comuna 2,86,2024-07-31,2342
comuna 1,98,2024-01-30,6024
comuna 4,60,2024-01-30,34915
comuna 9,33,2024-06-23,29969
comuna 3,34,2024-06-25,7217
comuna 1,73,2024-07-31,46837
comuna 2,65,2024-07-31,830
comuna 14,97,2024-01-30,36269
comuna 1,20,2024-06-23,40632
comuna 8,23,2024-06-23,11927
comuna 16,70,2024-07-31,7077
comuna 14,52,2024-06-25,34823
comuna 9,73,2024-06-25,6836
comuna 5,72,2024-01-30,6073
comuna 16,62,2024-01-30,24605
comuna 7,92,2024-07-31,19122
comuna 12,38,2024-07-31,11623
comuna 1,68,2024-06-23,19514
comuna 5,41,2024-06-25,34310
comuna 1,55,2024-07-31,12686
comuna 15,53,2024-01-30,12014
comuna 14,58,2024-06-23,8377
comuna 1,95,2024-01-30,30336
comuna 13,65,2024-01-30,13740
comuna 4,20,2024-06-23,8050
comuna 3,60,2024-06-23,35107
comuna 7,52,2024-06-23,23753
comuna 16,31,2024-01-30,4377
comuna 10,95,2024-06-23,20750
comuna 9,84,2024-06-23,9902
comuna 2,27,2024-06-23,30261
comuna 1,43,2024-07-31,16831
comuna 5,40,2024-06-25,26648
comuna 3,60,2024-07-31,11810
comuna 13,44,2024-06-25,48703
comuna 10,48,2024-06-25,16761
comuna 1,24,2024-07-31,9516
comuna 16,89,2024-01-30,4114
comuna 10,95,2024-01-30,24465
comuna 7,51,2024-01-30,32256
comuna 9,67,2024-01-30,37281
comuna 1,11,2024-07-31,23666
comuna 2,97,2024-01-30,37045
comuna 10,21,2024-01-30,2069
comuna 11,72,2024-06-23,5245
comuna 13,98,2024-07-31,11045
comuna 16,55,2024-06-25,15050
comuna 11,50,2024-01-30,30929
comuna 16,11,2024-06-23,14710
comuna 13,85,2024-06-25,33391
comuna 4,21,2024-06-25,33266
comuna 16,62,2024-07-31,47653
comuna 15,51,2024-06-25,45809
comuna 8,49,2024-06-25,47910
comuna 10,44,2024-01-30,30313
comuna 5,78,2024-07-31,43207
comuna 5,20,2024-01-30,15734
comuna 2,65,2024-01-30,13125
comuna 2,79,2024-07-31,43956
comuna 4,12,2024-07-31,47271
comuna 4,94,2024-06-23,5248
comuna 6,78,2024-01-30,34275
comuna 9,55,2024-06-23,15539
comuna 7,25,2024-01-30,46497
comuna 9,32,2024-01-30,34546
comuna 1,64,2024-06-25,37414
comuna 2,83,2024-06-23,39202
comuna 15,51,2024-07-31,43655
comuna 2,21,2024-06-23,17682
comuna 11,88,2024-06-25,22589
comuna 3,65,2024-06-25,24245
comuna 7,20,2024-07-31,3275
comuna 4,91,2024-06-23,17768
comuna 7,84,2024-07-31,33708
comuna 3,12,2024-07-31,34462
comuna 15,100,2024-07-31,15518
comuna 14,32,2024-06-25,15278
comuna 4,91,2024-01-30,21313
comuna 13,70,2024-07-31,43751
comuna 10,89,2024-06-25,43146
comuna 8,46,2024-01-30,44329
comuna 14,34,2024-06-23,14230
comuna 13,10,2024-06-25,31625
comuna 4,53,2024-06-25,1964
comuna 11,70,2024-06-25,45889
comuna 15,25,2024-01-30,25655
comuna 16,81,2024-06-25,17782
comuna 7,16,2024-06-23,13179
comuna 16,96,2024-07-31,15613
comuna 6,31,2024-07-31,47043
comuna 12,23,2024-06-23,4946
comuna 7,23,2024-01-30,29917
comuna 12,10,2024-06-25,20722
comuna 4,75,2024-06-25,21926
comuna 14,94,2024-01-30,25196
comuna 15,85,2024-07-31,23976
comuna 5,99,2024-06-25,28204
comuna 15,68,2024-01-30,5020
comuna 6,85,2024-06-25,25200
comuna 7,80,2024-06-23,2423
comuna 3,47,2024-06-25,35134
comuna 6,49,2024-06-23,30154
comuna 2,65,2024-06-25,9552
comuna 16,40,2024-01-30,39460
comuna 11,86,2024-07-31,48255
comuna 12,90,2024-06-25,21548
comuna 11,36,2024-01-30,23138
comuna 3,64,2024-06-25,14718
comuna 5,95,2024-07-31,32355
comuna 7,13,2024-06-25,31224
comuna 10,61,2024-06-25,10152
comuna 16,55,2024-01-30,16591
comuna 16,89,2024-07-31,44380
comuna 4,29,2024-06-23,4865
comuna 3,42,2024-06-23,1054
comuna 11,54,2024-07-31,16568
comuna 3,33,2024-06-23,23672
comuna 9,71,2024-07-31,32586
comuna 1,99,2024-01-30,30621
comuna 6,36,2024-07-31,9149
comuna 11,26,2024-07-31,5130
comuna 12,34,2024-06-25,41643
comuna 6,18,2024-06-25,30644
comuna 7,29,2024-06-23,39640
comuna 7,77,2024-06-25,49320
comuna 8,36,2024-01-30,27143
comuna 6,10,2024-06-25,40673
comuna 16,12,2024-07-31,4328
comuna 13,100,2024-06-23,37699
comuna 7,16,2024-06-25,14622
comuna 13,86,2024-01-30,40651
comuna 14,67,2024-01-30,35116
comuna 1,87,2024-01-30,39760
comuna 8,79,2024-07-31,19918
comuna 9,49,2024-06-23,16340
comuna 3,37,2024-07-31,47397
comuna 9,77,2024-06-23,13694
comuna 1,71,2024-06-23,27259
comuna 2,24,2024-01-30,41602
comuna 15,56,2024-01-30,9310
comuna 3,36,2024-01-30,39602
comuna 15,23,2024-01-30,5120
comuna 5,43,2024-06-25,25403
comuna 3,66,2024-01-30,22127
comuna 16,47,2024-01-30,33646
comuna 1,61,2024-01-30,2024
comuna 15,43,2024-06-25,27518
comuna 2,79,2024-01-30,41366
comuna 9,93,2024-01-30,14936
comuna 15,97,2024-01-30,4122
comuna 14,90,2024-07-31,29060
comuna 6,92,2024-06-25,31436
comuna 2,33,2024-06-25,18923
comuna 7,17,2024-01-30,8543
comuna 1,66,2024-06-23,17313
comuna 5,100,2024-07-31,15697
comuna 5,23,2024-01-30,23548
comuna 16,80,2024-01-30,6578
comuna 1,67,2024-01-30,3766
comuna 3,31,2024-01-30,9389
comuna 6,46,2024-06-23,43617
comuna 16,97,2024-06-23,7440
comuna 13,87,2024-07-31,28959
comuna 7,99,2024-06-23,23504
comuna 2,66,2024-01-30,31662
comuna 1,39,2024-06-23,48755
comuna 12,28,2024-06-23,35658
comuna 4,97,2024-07-31,27515
comuna 7,22,2024-06-25,38820
comuna 16,29,2024-01-30,5241
comuna 8,21,2024-06-25,7691
comuna 4,12,2024-01-30,8802
comuna 11,88,2024-06-25,25322
comuna 11,23,2024-07-31,39801
comuna 15,95,2024-06-25,39258
comuna 16,49,2024-01-30,4037
comuna 10,12,2024-01-30,16526
comuna 6,77,2024-01-30,33591
comuna 7,13,2024-01-30,39421
comuna 11,57,2024-01-30,11861
comuna 13,29,2024-01-30,23781
comuna 7,21,2024-07-31,21940
comuna 6,90,2024-01-30,23292
comuna 7,68,2024-07-31,40807
comuna 8,19,2024-06-25,27388
comuna 4,70,2024-07-31,10892
comuna 2,29,2024-07-31,34483
comuna 9,21,2024-06-25,34246
comuna 3,10,2024-01-30,27298
comuna 7,17,2024-06-25,38575
comuna 11,34,2024-06-25,32004
comuna 6,29,2024-06-25,11420
comuna 14,81,2024-06-25,41854
comuna 13,73,2024-06-25,44781
comuna 2,62,2024-06-23,13707
comuna 3,96,2024-06-25,29539
comuna 11,18,2024-07-31,47355
comuna 5,79,2024-06-25,30856
comuna 5,19,2024-06-23,26532
comuna 11,47,2024-06-23,47787
comuna 7,69,2024-01-30,31293
comuna 6,18,2024-01-30,2896
comuna 1,80,2024-07-31,37694
comuna 12,65,2024-07-31,3550
comuna 15,35,2024-01-30,1079
comuna 8,44,2024-01-30,47147
comuna 12,78,2024-06-25,21773
comuna 5,54,2024-06-23,26397
comuna 15,54,2024-07-31,37927
comuna 7,61,2024-06-23,43885
comuna 12,26,2024-01-30,1898
comuna 13,65,2024-06-25,26870
comuna 9,48,2024-06-25,9342
comuna 7,84,2024-07-31,15669
comuna 16,37,2024-01-30,3908
comuna 5,39,2024-01-30,21278
comuna 10,92,2024-01-30,26364
comuna 14,98,2024-07-31,3229
comuna 15,26,2024-01-30,88
comuna 13,66,2024-06-23,37525
comuna 5,41,2024-06-25,23526
comuna 13,22,2024-06-25,18735
comuna 15,94,2024-06-25,1277
comuna 10,38,2024-06-25,48014
comuna 2,44,2024-06-25,17558
comuna 12,35,2024-07-31,29966
comuna 6,82,2024-01-30,5686
comuna 11,18,2024-01-30,9928
comuna 1,55,2024-06-25,2594
comuna 15,94,2024-01-30,30895
comuna 13,57,2024-06-23,28118
comuna 2,31,2024-07-31,4551
comuna 7,52,2024-01-30,39994
comuna 5,68,2024-01-30,42012
comuna 10,51,2024-06-23,49284
comuna 14,59,2024-06-25,44813
comuna 6,48,2024-07-31,22780
comuna 1,40,2024-01-30,41625
comuna 5,85,2024-06-23,13929
comuna 7,25,2024-06-23,12089
comuna 11,19,2024-07-31,42661
comuna 3,78,2024-01-30,45678
comuna 7,98,2024-06-25,10841
comuna 7,56,2024-01-30,12766
comuna 3,78,2024-06-23,2352
comuna 7,54,2024-01-30,48298
comuna 8,87,2024-06-25,33995
comuna 10,55,2024-01-30,2412
comuna 2,98,2024-06-23,34562
comuna 16,25,2024-06-23,5023
comuna 10,84,2024-01-30,20499
comuna 16,31,2024-01-30,35304
comuna 9,41,2024-07-31,40259
comuna 2,46,2024-07-31,11422
comuna 15,72,2024-06-23,48999
comuna 3,67,2024-01-30,14179
comuna 16,47,2024-07-31,39532
comuna 4,32,2024-06-25,24372
comuna 5,72,2024-07-31,38861
comuna 5,26,2024-06-25,22135
comuna 7,10,2024-07-31,48414
comuna 7,88,2024-01-30,26494
comuna 5,28,2024-01-30,10235
comuna 3,33,2024-01-30,4094
comuna 14,53,2024-07-31,31909
comuna 12,31,2024-07-31,8281
comuna 4,71,2024-01-30,23817
comuna 14,38,2024-06-23,116
comuna 6,64,2024-01-30,48575
comuna 1,36,2024-07-31,39837
comuna 9,64,2024-07-31,42241
comuna 15,75,2024-06-25,29966
comuna 14,80,2024-07-31,24486
comuna 5,87,2024-01-30,3713
comuna 11,11,2024-07-31,29699
comuna 3,78,2024-07-31,36532
comuna 2,81,2024-06-25,45008
comuna 4,80,2024-01-30,23165
comuna 14,79,2024-01-30,6420
comuna 16,80,2024-06-25,13921
comuna 3,62,2024-06-23,10574
comuna 4,58,2024-01-30,28130
comuna 14,64,2024-07-31,39994
comuna 4,46,2024-07-31,17368
comuna 10,90,2024-06-23,1670
comuna 1,100,2024-07-31,5101
comuna 3,81,2024-06-25,37293
comuna 5,66,2024-07-31,23593
comuna 10,83,2024-06-25,17125
comuna 3,32,2024-01-30,7276
comuna 2,65,2024-07-31,26604
comuna 13,27,2024-07-31,36723
comuna 4,93,2024-01-30,44821
comuna 13,100,2024-06-23,44408
comuna 13,89,2024-06-25,10043
comuna 2,82,2024-06-23,47418
comuna 14,30,2024-07-31,46094
comuna 5,45,2024-01-30,34454
comuna 16,55,2024-06-23,12463
comuna 7,37,2024-07-31,12348
comuna 7,96,2024-06-25,23485
comuna 1,78,2024-06-23,24650
comuna 13,44,2024-06-23,49558
comuna 13,79,2024-01-30,44533
comuna 12,40,2024-01-30,10891
comuna 5,18,2024-06-23,19236
comuna 14,22,2024-06-25,12020
comuna 16,54,2024-07-31,9396
comuna 5,66,2024-06-25,21389
comuna 3,99,2024-06-25,19682
comuna 9,44,2024-07-31,20486
comuna 10,62,2024-06-25,39602
comuna 9,60,2024-06-25,45343
comuna 6,33,2024-01-30,45920
comuna 12,15,2024-01-30,23771
comuna 11,17,2024-06-23,8950
comuna 9,33,2024-06-23,5404
comuna 12,43,2024-01-30,82
comuna 6,88,2024-01-30,14752
comuna 13,97,2024-06-23,1273
comuna 4,16,2024-06-25,48203
comuna 9,39,2024-06-23,34958
comuna 10,75,2024-06-25,11752
comuna 14,34,2024-06-25,48936
comuna 4,89,2024-06-23,12311
comuna 9,40,2024-07-31,25804
comuna 11,59,2024-01-30,38143
comuna 13,84,2024-01-30,14842
comuna 2,65,2024-06-25,35142
comuna 11,21,2024-01-30,37981
comuna 12,56,2024-01-30,40502
comuna 14,42,2024-01-30,36552
comuna 13,67,2024-06-23,23565
comuna 9,10,2024-07-31,42274
comuna 1,16,2024-06-25,1654
comuna 13,16,2024-01-30,20006
comuna 15,52,2024-06-23,43297
comuna 7,25,2024-01-30,37465
comuna 15,59,2024-06-23,34207
comuna 8,38,2024-07-31,26666
comuna 9,18,2024-01-30,38723
comuna 6,80,2024-06-23,3229
comuna 3,42,2024-07-31,33952
comuna 11,51,2024-06-25,32238
comuna 6,76,2024-01-30,49404
comuna 12,82,2024-07-31,30751
comuna 4,33,2024-07-31,2353
comuna 7,37,2024-06-25,33354
comuna 7,60,2024-01-30,17376
comuna 16,63,2024-07-31,14427
comuna 2,45,2024-07-31,420
comuna 13,77,2024-07-31,47811
comuna 16,71,2024-06-23,3234
comuna 1,95,2024-01-30,16312
comuna 3,90,2024-06-25,38285
comuna 11,71,2024-06-25,14450
comuna 6,87,2024-07-31,39874
comuna 7,34,2024-06-25,2700
comuna 10,57,2024-01-30,14075
comuna 9,29,2024-01-30,47231
comuna 16,89,2024-06-23,4173
comuna 11,60,2024-06-23,36869
comuna 7,14,2024-06-23,31945
comuna 8,37,2024-01-30,18348
comuna 11,95,2024-06-25,25366
comuna 5,50,2024-06-23,18279
comuna 7,32,2024-06-25,42554
comuna 8,20,2024-06-23,23402
comuna 6,66,2024-06-25,35673
comuna 13,73,2024-06-25,12848
comuna 11,20,2024-07-31,26785
comuna 3,22,2024-07-31,48161
comuna 1,84,2024-06-25,6433
comuna 1,49,2024-07-31,4364
comuna 2,32,2024-01-30,46281
comuna 2,72,2024-06-25,47722
comuna 2,30,2024-01-30,10885
comuna 1,47,2024-06-25,38160
comuna 10,59,2024-06-25,19967
comuna 10,96,2024-06-23,38338
comuna 5,11,2024-06-23,7172
comuna 6,36,2024-07-31,40033
comuna 2,44,2024-07-31,42027
comuna 4,38,2024-06-23,43525
comuna 12,100,2024-01-30,46544
comuna 8,56,2024-01-30,27009
comuna 2,81,2024-07-31,14324
comuna 7,36,2024-06-25,41409
comuna 2,88,2024-06-25,47948
comuna 3,36,2024-07-31,30381
comuna 16,13,2024-07-31,25304
comuna 16,52,2024-01-30,34178
comuna 14,31,2024-06-23,5476
comuna 13,72,2024-01-30,13505
comuna 9,77,2024-01-30,28051
comuna 12,44,2024-06-25,27363
comuna 1,11,2024-01-30,10844
comuna 5,72,2024-06-25,30727
comuna 10,84,2024-01-30,49041
comuna 15,52,2024-06-25,4028
comuna 14,80,2024-06-23,13574
comuna 4,76,2024-06-23,14669
comuna 6,80,2024-07-31,33181
comuna 16,21,2024-01-30,9373
